user,text,favorite_count,retweet_count,created_at,cleaned_tweet,polarity,subjectivity
elonmusk,@WholeMarsBlog @saasInvestor Ok …,2315,89,2022-11-13,ok,0.5,0.5
elonmusk,@DirtyTesLa @WholeMarsBlog Probably next month,2490,90,2022-11-13,probably next month,0.0,0.0
elonmusk,@DirtyTesLa @WholeMarsBlog Going without saying that we all want ASS (Actually Smart Summon) ASAP!!,3462,214,2022-11-13,going without saying that we all want actually smart summon asap,0.21428571428571427,0.6428571428571429
elonmusk,@slashdot No way,36334,1834,2022-11-13,no way,0.0,0.0
elonmusk,@debarghya_das @ayushkhd @Tesla Making Tesla Superchargers &amp; connectors available to all is the right thing to do,8273,521,2022-11-13,making tesla superchargers amp connectors available all is right thing do,0.34285714285714286,0.46785714285714286
elonmusk,@A_MrBenMitchell @RadioShack @MarioNawfal Spaces should be evolve. It has potential to be truly great.,4238,317,2022-11-13,spaces should be evolve it has potential be truly great,0.4,0.875
elonmusk,@pauljamil @philbak1 Probably end of next week,5226,216,2022-11-13,probably end next week,0.0,0.0
elonmusk,@philbak1 My reaction to SBF was … different,57140,2585,2022-11-13,my reaction sbf was different,0.0,0.6
elonmusk,@MarioNawfal Twitter at its best!,35350,2348,2022-11-13,twitter at its best,1.0,0.3
elonmusk,@alex_avoigt 💪💪,23952,1006,2022-11-13,,0.0,0.0
elonmusk,@kellymilkies @tomasverdugo @balinares 🎯,3355,113,2022-11-13,,0.0,0.0
elonmusk,@elephantbridge @balinares Yes,10227,239,2022-11-12,yes,0.0,0.0
elonmusk,"@balinares This is false. Anyone who can be in office, should be. However, if not logistically possible or they have essential personal matters, then staying home is fine.

Working remotely is also ok if their manager vouches for excellence.

Same policy as Tesla &amp; SpaceX.",124856,7977,2022-11-12,this is false anyone who can be office should be however if not logistically possible or they have essential personal matters then staying home is fine working remotely is also ok if their manager vouches excellence same policy as tesla amp spacex,0.05208333333333333,0.44062500000000004
elonmusk,Order at https://t.co/Q1VvqV5G0i! https://t.co/Ehca6KRk3v,72593,6053,2022-11-12,order at,0.0,0.0
elonmusk,@andst7 wen doc series? @netflix,7758,442,2022-11-12,wen doc series,0.0,0.0
elonmusk,@MuskUniversity Yup,21296,715,2022-11-12,yup,0.0,0.0
elonmusk,@CathieDWood Exactly,7840,454,2022-11-12,exactly,0.25,0.25
elonmusk,@Thnaiyan سوف تفعل,12463,1157,2022-11-12,,0.0,0.0
elonmusk,@andst7 Cool,49695,1229,2022-11-12,cool,0.35,0.65
elonmusk,@andst7 https://t.co/ZpZ6B4F7Ou,16553,2311,2022-11-12,,0.0,0.0
elonmusk,@westcoastbill 🦾,3632,212,2022-11-12,,0.0,0.0
